year,elecG,megaG,levelG,waterG,elecH,megaH,levelH,waterH,,,,,,,,,,,,,
2001,3.806913,3806913,3665.32,19205972,2.453528,2453528,1185.78,20935774,,,,,,,,,,,,,
2002,3.516288,3516288,3637.85,15789278,2.224941,2224941,1163.17,18037362,,,,,,,,,,,,,
2003,3.482423,3482423,3607.89,12528080,1.701496,1701496,1145.93,16037336,,,,,,,,,,,,,
2004,3.327892,3327892,3579.88,9947324,1.581084,1581084,1131.76,14541211,,,,,,,,,,,,,
2005,3.299429,3299429,3585.86,10551848,1.668986,1668986,1139.87,15381733,,,,,,,,,,,,,
2006,3.496653,3496653,3600.83,11843066,2.020029,2020029,1131.66,14530987,,,,,,,,,,,,,
2007,3.441281,3441281,3602.38,11984066,1.959593,1959593,1118,13137092,,,,,,,,,,,,,
2008,3.897708,3897708,3612.42,13053619,1.709695,1709695,1109.64,12464762,,,,,,,,,,,,,
2009,3.703866,3703866,3626.56,14510100,2.406695,2406695,1099.72,11489247,,,,,,,,,,,,,
2010,3.671552,3671552,3628.63,14713748,2.097079,2097079,1091.56,10759249,,,,,,,,,,,,,
2011,6.254421,6254421,3635.9,15623871,2.118105,2118105,1106.12,12077029,,,,,,,,,,,,,
2012,3.658363,3658363,3628.87,14747787,2.374148,2374148,1121.91,13798396,,,,,,,,,,,,,
2013,3.332256,3332256,3595.83,11365805,2.624633,2624633,1110.9,12705639,,,,,,,,,,,,,
2014,3.344619,3344619,3593.79,11211927,2.352308,2352308,1090.76,10940605,,,,,,,,,,,,,
2015,3.839205,3839205,3610.47,11907776,2.248649,2248649,1080.68,10071257,,,,,,,,,,,,,
2016,4.016225,4016225,3604.74,12231654,1.748122,1748122,1077.22,9784790,,,,,,,,,,,,,
2017,3.949678,3949678,3616.94,13506530,1.738883,1738883,1083.06,10267537,,,,,,,,,,,,,
2018,3.958503,3958503,3604.11,12181562,1.814646,1814646,1081.57,10144058,,,,,,,,,,,,,
2019,3.892305,3892305,3596.95,11563633,2.175715,2175715,1085.46,10469995,,,,,,,,,,,,,
2020,3.59878,3598780,3600.11,11774078,1.86707,1867070,1088.78,10758113,,,,,,,,,,,,,
2021,3.086694,3086694,3557.57,8173542,1.905145,1905145,1074.01,9532500,,,,,,,,,,,,,